"Radius (Computed location);""Longitude (Computed location)"";""Latitude (Computed location)"";""Source (Computed location)"";""Country"";""Data"";""Link Quality Indicator"";""Link Quality Indicator repeaters"";""Operator"";""RSSI1 (Receiver info)"";""NapmId1 (Receiver info)"";""Station ID1 (Receiver info)"";""GetRssiRepeaters2Display1 (Receiver info)"";""Delay1 (Receiver info)"";""RSSI2 (Receiver info)"";""NapmId2 (Receiver info)"";""Station ID2 (Receiver info)"";""GetRssiRepeaters2Display2 (Receiver info)"";""Delay2 (Receiver info)"";""RSSI3 (Receiver info)"";""NapmId3 (Receiver info)"";""Station ID3 (Receiver info)"";""GetRssiRepeaters2Display3 (Receiver info)"";""Delay3 (Receiver info)"";""RSSI4 (Receiver info)"";""NapmId4 (Receiver info)"";""Station ID4 (Receiver info)"";""GetRssiRepeaters2Display4 (Receiver info)"";""Delay4 (Receiver info)"";""Timestamp"""
"5200;""12.52015857476847"";""55.857412111292625"";""Network location"";"""";""0c12"";""Good"";""N/A"";""SIGFOX_Denmark_IOTDK"";""-119.00"";""0000"";""29D1"";""N/A"";""1.609"";;;;;;;;;;;;;;;;""2022-01-02 20:38:17"""
"5300;""12.51875528986787"";""55.85654896294524"";""Network location"";"""";""0c17"";""Average"";""N/A"";""SIGFOX_Denmark_IOTDK"";""-123.00"";""0000"";""29D1"";""N/A"";""0.737"";;;;;;;;;;;;;;;;""2022-01-02 16:35:51"""
"4800;""12.51759829963153"";""55.85646868910618"";""Network location"";"""";""0c17"";""Good"";""N/A"";""SIGFOX_Denmark_IOTDK"";""-119.00"";""0000"";""29D1"";""N/A"";""2.142"";;;;;;;;;;;;;;;;""2022-01-02 12:33:20"""
"7500;""12.518920258762128"";""55.856010280034084"";""Network location"";"""";""0c17"";""Average"";""N/A"";""SIGFOX_Denmark_IOTDK"";""-133.00"";""0000"";""29D1"";""N/A"";""1.004"";;;;;;;;;;;;;;;;""2022-01-02 08:31:14"""
"5500;""12.516864514980993"";""55.85619200403083"";""Network location"";"""";""0c1c"";""Average"";""N/A"";""SIGFOX_Denmark_IOTDK"";""-124.00"";""0000"";""29D1"";""N/A"";""1.121"";;;;;;;;;;;;;;;;""2022-01-02 04:29:09"""
"4500;""12.517297377802908"";""55.85582099840255"";""Network location"";"""";""0c22"";""Good"";""N/A"";""SIGFOX_Denmark_IOTDK"";""-105.00"";""0000"";""29D1"";""N/A"";""2.139"";""-136.00"";""0000"";""29E7"";""N/A"";""1.115"";""-138.00"";""0000"";""29E0"";""N/A"";""2.217"";""-144.00"";""0000"";""23EA"";""N/A"";""2.145"";""2022-01-02 00:26:58"""
"4900;""12.51913375609968"";""55.85629119451275"";""Network location"";"""";""0c25"";""Good"";""N/A"";""SIGFOX_Denmark_IOTDK"";""-118.00"";""0000"";""29D1"";""N/A"";""1.276"";;;;;;;;;;;;;;;;""2022-01-01 20:23:38"""
"8300;""10.615539711956758"";""55.0280134831834"";""Network location"";"""";""0c30"";""Average"";""N/A"";""SIGFOX_Denmark_IOTDK"";""-130.00"";""0000"";""29E9"";""N/A"";""2.007"";;;;;;;;;;;;;;;;""2022-01-01 04:13:55"""
"7800;""10.617762877720441"";""55.03064718942821"";""Network location"";"""";""0c37"";""Average"";""N/A"";""SIGFOX_Denmark_IOTDK"";""-129.00"";""0000"";""29E9"";""N/A"";""0.489"";;;;;;;;;;;;;;;;""2021-12-31 20:09:51"""
"4800;""12.517629787300605"";""55.856340876100795"";""Network location"";"""";""0c3e"";""Good"";""N/A"";""SIGFOX_Denmark_IOTDK"";""-120.00"";""0000"";""29D1"";""N/A"";""1.872"";;;;;;;;;;;;;;;;""2021-12-31 12:05:18"""
